name,url,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
5DayDeal,https://www.climateneutral.org/brand/5daydeal,0.0,73.0,132.0,2682.1,206.0
686,https://www.climateneutral.org/brand/686,2.0,5.0,27282.0,90057.0,27290.0
Acumatica,https://www.climateneutral.org/brand/acumatica,65.0,53.0,1620.0,29515.0,2780.0
Adanac Tech,https://www.climateneutral.org/brand/adanactech,1.0,11.0,13.0,200.0,25.0
AdMixt,https://www.climateneutral.org/brand/admixt,21.0,73.0,56.0,1692.5,151.0
advene,https://www.climateneutral.org/brand/advene,0.0,2.0,136.0,719.25,137.0
All Good,https://www.climateneutral.org/brand/all-good,4.0,25.0,3939.0,16000.0,4000.0
Allbirds,https://www.climateneutral.org/brand/allbirds,448.0,362.0,37128.0,371568.0,40964.0
Alliance Trading Group,https://www.climateneutral.org/brand/alliance-trading-group,0.0,7.0,83.0,1314.0,90.0
ALOHA,https://www.climateneutral.org/brand/aloha,0.0,86.0,5743.0,40374.0,5828.0
Alpine Fit,https://www.climateneutral.org/brand/alpine-fit,2.0,13.0,120.0,923.75,135.0
"Alpine Start, Inc.",https://www.climateneutral.org/brand/alpine-start,0.0,3.0,322.0,2112.5,325.0
Alter Eco,https://www.climateneutral.org/brand/alter-eco,1.0,3.0,5781.0,66911.0,5786.0
Amika,https://www.climateneutral.org/brand/amika,205.0,82.0,9242.0,79745.0,8849.0
Ana Luisa,https://www.climateneutral.org/brand/ana-luisa,4.0,60.0,3821.0,21872.01,3885.0
Ananday,https://www.climateneutral.org/brand/ananday,0.0,0.0,32.0,274.9,32.0
Ancient + Brave,https://www.climateneutral.org/brand/ancient-and-brave,10.0,0.0,264.0,3904.5,274.0
&BACK COFFEE,https://www.climateneutral.org/brand/and-back-coffee,0.0,0.0,58.0,1004.76,60.0
Angel Chang LLC,https://www.climateneutral.org/brand/angel-chang,0.0,0.0,4.0,77.52,4.0
Another Tomorrow,https://www.climateneutral.org/brand/another-tomorrow,1.0,3.0,1554.0,32120.91,1557.0
Appalachian Gap Distillery,https://www.climateneutral.org/brand/appalachian-gap-distillery,1.0,16.0,72.0,1812.0,89.0
Aquila's Nest Vineyards,https://www.climateneutral.org/brand/aquilas-nest-vineyards,5.0,59.0,115.0,1400.0,200.0
Athletic Greens,https://www.climateneutral.org/brand/athletic-greens,49.0,127.0,92360.0,232843.71,92536.0
August,https://www.climateneutral.org/brand/august,0.0,2.0,1934.0,24950.75,1936.0
AUVA Certification Limited,https://www.climateneutral.org/brand/auva-certification,1.0,0.0,17.0,137.75,19.0
Avocado Green Brands,https://www.climateneutral.org/brand/avocado-green-brands,1.0,814.0,31935.0,223996.0,32751.0
Backbone Media,https://www.climateneutral.org/brand/backbone-media,29.0,105.0,278.0,5768.0,412.0
Backdrop,https://www.climateneutral.org/brand/backdrop,0.0,5.0,587.0,5624.0,592.0
Balega,https://www.climateneutral.org/brand/balega,42.0,83.0,5844.0,60883.8,5969.0
Bambu,https://www.climateneutral.org/brand/bambu,0.0,0.0,1153.0,9975.0,1153.0
Baobab Foods,https://www.climateneutral.org/brand/baobab-foods,0.0,19.0,342.0,3429.5,361.0
Barrett Dixon Bell Limited,https://www.climateneutral.org/brand/barrett-dixon-bell,4.0,14.0,132.0,1800.0,150.0
Bayrli,https://www.climateneutral.org/brand/bayrli,0.0,0.0,8.0,108.0,8.0
Be Ultimate,https://www.climateneutral.org/brand/be-ultimate,6.0,109.0,131.0,1783.5,246.0
Beam,https://www.climateneutral.org/brand/beam,18.0,439.0,17646.0,220857.0,18103.0
Beco,https://www.climateneutral.org/brand/beco-pets,242.0,0.0,2156.0,29495.4,2398.0
Become Current PBC,https://www.climateneutral.org/brand/become-current-pbc,0.0,47.0,48.0,1650.0,138.0
Belong Wines,https://www.climateneutral.org/brand/belong-wine,0.0,0.0,38.0,530.01,39.0
BIO RAW INC.,https://www.climateneutral.org/brand/bio-raw,15.0,44.0,435.0,5928.0,494.0
Biome,https://www.climateneutral.org/brand/biome,1.0,7.0,28.0,360.0,36.0
Blackfish Ventures LLC,https://www.climateneutral.org/brand/blackfish-ventures-llc,4.0,37.0,604.0,4192.5,645.0
BLDG Active,https://www.climateneutral.org/brand/bldg-active,0.0,11.0,1872.0,16974.84,1884.0
Bloobloom,https://www.climateneutral.org/brand/bloobloom,28.0,6.0,126.0,1043.2,160.0
Blossom Coffee Roasters,https://www.climateneutral.org/brand/blossom-coffee-roasters,6.0,5.0,156.0,1670.0,168.0
"Blue Dot Way, LLC",https://www.climateneutral.org/brand/blue-dot-way-llc,0.0,0.0,8.0,273.25,8.0
Blue Planet Outdoors,https://www.climateneutral.org/brand/blue-planet-outdoors,0.0,0.0,24.0,252.0,24.0
Blueland,https://www.climateneutral.org/brand/blueland,0.0,2.0,13203.0,98627.5,13205.0
"BlueStar Marketing, LLC",https://www.climateneutral.org/brand/bluestar-marketing,0.0,56.0,57.0,819.25,113.0
Bona Furtuna N.A.,https://www.climateneutral.org/brand/bona-furtuna-na,0.0,4.0,338.0,2830.24,342.0
Bondi Born,https://www.climateneutral.org/brand/bondi-born,1.0,0.0,603.0,5979.6,604.0
Bonterra,https://www.climateneutral.org/brand/bonterra,337.0,101.0,9767.0,111992.4,10205.0
bookshop.org,https://www.climateneutral.org/brand/bookshop,1.0,5.0,620.0,5947.0,626.0
Boonboo,https://www.climateneutral.org/brand/boonboo,0.0,5.0,5.0,130.5,9.0
Booth & Partners,https://www.climateneutral.org/brand/booth-and-partners,0.0,275.0,525.0,11600.0,800.0
Botanica Wines,https://www.climateneutral.org/brand/botanica-wines,0.0,0.0,198.0,2868.75,255.0
Bread Alone Bakery,https://www.climateneutral.org/brand/bread-alone,230.0,76.0,2115.0,33894.0,2421.0
Brook Farm Veterinary Center,https://www.climateneutral.org/brand/brook-farm-vet,1.0,147.0,152.0,4225.0,300.0
Bronwen Jewelry LLC,https://www.climateneutral.org/brand/brownwen-jewelry-llc,5.0,36.0,170.0,2507.75,210.0
BRUNA the Label,https://www.climateneutral.org/brand/bruna-the-label,0.0,14.0,1119.0,12672.0,1133.0
Bud Light NEXT,https://www.climateneutral.org/brand/bud-light-next,864.0,0.0,17701.0,289629.6,18566.0
By Rosie Jane,https://www.climateneutral.org/brand/by-rosie-jane,10.0,155.0,220.0,5355.0,385.0
Calgee,https://www.climateneutral.org/brand/calgee,2.0,26.0,64.0,643.0,92.0
