name,pathname,scope_1,scope_2,scope_3,total_offset_expenditure,total_offsets_tons_co2
5DayDeal,/brand/5daydeal,0.0,73.0,132.0,2682.1,206.0
686,/brand/686,2.0,5.0,27282.0,90057.0,27290.0
Acumatica,/brand/acumatica,65.0,53.0,1620.0,29515.0,2780.0
Adanac Tech,/brand/adanactech,1.0,11.0,13.0,200.0,25.0
AdMixt,/brand/admixt,21.0,73.0,56.0,1692.5,151.0
All Good,/brand/all-good,4.0,25.0,3939.0,16000.0,4000.0
Allbirds,/brand/allbirds,448.0,362.0,37128.0,371568.0,40964.0
Alliance Trading Group,/brand/alliance-trading-group,0.0,7.0,83.0,1314.0,90.0
ALOHA,/brand/aloha,0.0,86.0,5743.0,40374.0,5828.0
Alpine Fit,/brand/alpine-fit,2.0,13.0,120.0,923.75,135.0
"Alpine Start, Inc.",/brand/alpine-start,0.0,3.0,322.0,2112.5,325.0
Alter Eco,/brand/alter-eco,1.0,3.0,5781.0,66911.0,5786.0
Amika,/brand/amika,205.0,82.0,9242.0,79745.0,8849.0
Ana Luisa,/brand/ana-luisa,4.0,60.0,3821.0,21872.01,3885.0
Ananday,/brand/ananday,0.0,0.0,32.0,274.9,32.0
Ancient + Brave,/brand/ancient-and-brave,10.0,0.0,264.0,3904.5,274.0
&BACK COFFEE,/brand/and-back-coffee,0.0,0.0,58.0,1004.76,60.0
Angel Chang LLC,/brand/angel-chang,0.0,0.0,4.0,77.52,4.0
Another Tomorrow,/brand/another-tomorrow,1.0,3.0,1554.0,32120.91,1557.0
Appalachian Gap Distillery,/brand/appalachian-gap-distillery,1.0,16.0,72.0,1812.0,89.0
Aquila's Nest Vineyards,/brand/aquilas-nest-vineyards,5.0,59.0,115.0,1400.0,200.0
Athletic Greens,/brand/athletic-greens,49.0,127.0,92360.0,232843.71,92536.0
August,/brand/august,0.0,2.0,1934.0,24950.75,1936.0
AUVA Certification Limited,/brand/auva-certification,1.0,0.0,17.0,137.75,19.0
Avocado Green Brands,/brand/avocado-green-brands,1.0,814.0,31935.0,223996.0,32751.0
Backbone Media,/brand/backbone-media,29.0,105.0,278.0,5768.0,412.0
Backdrop,/brand/backdrop,0.0,5.0,587.0,5624.0,592.0
Balega,/brand/balega,42.0,83.0,5844.0,60883.8,5969.0
Bambu,/brand/bambu,0.0,0.0,1153.0,9975.0,1153.0
Baobab Foods,/brand/baobab-foods,0.0,19.0,342.0,3429.5,361.0
Barrett Dixon Bell Limited,/brand/barrett-dixon-bell,4.0,14.0,132.0,1800.0,150.0
Bayrli,/brand/bayrli,0.0,0.0,8.0,108.0,8.0
Be Ultimate,/brand/be-ultimate,6.0,109.0,131.0,1783.5,246.0
Beam,/brand/beam,18.0,439.0,17646.0,220857.0,18103.0
Beco,/brand/beco-pets,242.0,0.0,2156.0,29495.4,2398.0
Become Current PBC,/brand/become-current-pbc,0.0,47.0,48.0,1650.0,138.0
Belong Wines,/brand/belong-wine,0.0,0.0,38.0,530.01,39.0
BIO RAW INC.,/brand/bio-raw,15.0,44.0,435.0,5928.0,494.0
Biome,/brand/biome,1.0,7.0,28.0,360.0,36.0
Blackfish Ventures LLC,/brand/blackfish-ventures-llc,4.0,37.0,604.0,4192.5,645.0
BLDG Active,/brand/bldg-active,0.0,11.0,1872.0,16974.84,1884.0
Bloobloom,/brand/bloobloom,28.0,6.0,126.0,1043.2,160.0
Blossom Coffee Roasters,/brand/blossom-coffee-roasters,6.0,5.0,156.0,1670.0,168.0
"Blue Dot Way, LLC",/brand/blue-dot-way-llc,0.0,0.0,8.0,273.25,8.0
Blue Planet Outdoors,/brand/blue-planet-outdoors,0.0,0.0,24.0,252.0,24.0
Blueland,/brand/blueland,0.0,2.0,13203.0,98627.5,13205.0
"BlueStar Marketing, LLC",/brand/bluestar-marketing,0.0,56.0,57.0,819.25,113.0
Bona Furtuna N.A.,/brand/bona-furtuna-na,0.0,4.0,338.0,2830.24,342.0
Bondi Born,/brand/bondi-born,1.0,0.0,603.0,5979.6,604.0
Bonterra,/brand/bonterra,337.0,101.0,9767.0,111992.4,10205.0
Boonboo,/brand/boonboo,0.0,5.0,5.0,130.5,9.0
Booth & Partners,/brand/booth-and-partners,0.0,275.0,525.0,11600.0,800.0
Botanica Wines,/brand/botanica-wines,0.0,0.0,198.0,2868.75,255.0
Bread Alone Bakery,/brand/bread-alone,230.0,76.0,2115.0,33894.0,2421.0
Brook Farm Veterinary Center,/brand/brook-farm-vet,1.0,147.0,152.0,4225.0,300.0
Bronwen Jewelry LLC,/brand/brownwen-jewelry-llc,5.0,36.0,170.0,2507.75,210.0
BRUNA the Label,/brand/bruna-the-label,0.0,14.0,1119.0,12672.0,1133.0
Bud Light NEXT,/brand/bud-light-next,864.0,0.0,17701.0,289629.6,18566.0
By Rosie Jane,/brand/by-rosie-jane,10.0,155.0,220.0,5355.0,385.0
Calgee,/brand/calgee,2.0,26.0,64.0,643.0,92.0
CAMP Eyewear,/brand/camp-eyewear,5.0,123.0,347.0,3800.0,475.0
Canary Marketing,/brand/canary-marketing,66.0,49.0,2592.0,21068.27,2709.0
Cape Clasp,/brand/cape-clasp,0.0,2.0,229.0,1848.0,231.0
Cariloop,/brand/cariloop,4.0,362.0,343.0,11005.0,710.0
Ceremonia,/brand/ceremonia,0.0,12.0,1875.0,11322.0,1887.0
"ChicoEco, Inc",/brand/chicoeco-inc,10.0,11.0,671.0,2073.0,691.0
CHNGE,/brand/chnge,0.0,1.0,1252.0,9518.0,1253.0
Chris Burkard Studio,/brand/chris-burkard-studio,1.0,29.0,58.0,872.58,88.0
CLIF Kid,/brand/clif-kid,2089.0,0.0,25470.0,317590.0,27559.0
Climate Neutral,/brand/climate-neutral,0.0,1.0,42.0,350.9,43.0
Clove & Twine,/brand/clove-and-twine,13.0,18.0,321.0,10101.92,352.0
Collective Logistics,/brand/collective-logistics,1.0,0.0,18.0,144.0,18.0
Collins Hume,/brand/collins-hume,3.0,0.0,58.0,476.25,61.0
Common Heir,/brand/common-heir,24.0,79.0,680.0,5676.75,783.0
Consolidare Wealth Management Ltd,/brand/consolidare-wealth-management,0.0,0.0,3.0,40.5,3.0
Convert,/brand/convert,3.0,37.0,142.0,1086.0,181.0
Coracao Confections,/brand/coracao-confections,8.0,170.0,535.0,9653.7,998.0
Cotopaxi,/brand/cotopaxi,0.0,328.0,13531.0,124862.0,13859.0
COUNSEL,/brand/counsel,1.0,34.0,68.0,10852.3,546.0
Creative Solutions,/brand/creative-solutions,32.0,38.0,1611.0,3952.7,1682.0
DeeBee's Organics,/brand/deebees-organics,1.0,129.0,3863.0,54890.0,4000.0
Della Terra,/brand/della-terra,4.0,0.0,86.0,889.5,90.0
Denomination,/brand/denomination,1.0,77.0,151.0,2519.0,229.0
DEPTÂ®,/brand/dept,225.0,844.0,9761.0,177924.05,11113.0
"Dermatone Labs, LLC",/brand/dermatone-labs-llc,0.0,2.0,258.0,2947.7,260.0
Dewerstone,/brand/dewerstone,2.0,1.0,138.0,1128.0,141.0
Dimagi,/brand/dimagi,10.0,142.0,785.0,7529.6,938.0
DoThings,/brand/dothings,1.0,34.0,67.0,1249.5,102.0
Earth Harbor Naturals,/brand/earth-harbor-naturals,1.0,18.0,37.0,539.5,56.0
EarthHero,/brand/earthhero,29.0,11.0,282.0,4386.5,322.0
"EarthKind, LLC",/brand/earthkind,26.0,156.0,2886.0,29146.0,3068.0
"Elizabeth Suzann, LLC",/brand/elizabeth-suzann,0.0,2.0,80.0,896.0,83.0
Elm Organics Norway,/brand/elm-organics-norway,0.0,0.0,189.0,1997.73,189.0
Emikeni,/brand/emikeni,0.0,0.0,355.0,3372.5,355.0
Engedi Salon,/brand/engedi-salon,3.0,173.0,153.0,2066.12,329.0
